iter	Passed	Remaining
0	184	18262
1	205	10045
2	225	7283
3	246	5924
4	266	5056
5	284	4459
6	300	3993
7	315	3624
8	329	3335
9	341	3070
10	349	2825
11	359	2638
12	368	2463
13	379	2332
14	390	2211
15	405	2131
16	417	2039
17	429	1956
18	439	1875
19	451	1807
20	464	1745
21	474	1683
22	492	1647
23	504	1597
24	527	1582
25	541	1541
26	553	1496
27	565	1455
28	577	1414
29	589	1375
30	597	1329
31	609	1295
32	621	1261
33	631	1226
34	643	1194
35	655	1165
36	666	1134
37	678	1107
38	691	1080
39	702	1054
40	713	1026
41	725	1001
42	737	977
43	748	952
44	759	928
45	771	905
46	778	877
47	790	856
48	806	839
49	819	819
50	831	798
51	841	777
52	853	757
53	865	737
54	876	716
55	887	697
56	900	679
57	912	660
58	922	641
59	936	624
60	949	606
61	960	588
62	971	570
63	983	553
64	996	536
65	1008	519
66	1025	505
67	1049	493
68	1063	477
69	1081	463
70	1107	452
71	1120	435
72	1134	419
73	1150	404
74	1162	387
75	1173	370
76	1184	353
77	1196	337
78	1211	321
79	1223	305
80	1234	289
81	1246	273
82	1258	257
83	1270	242
84	1281	226
85	1293	210
86	1305	195
87	1316	179
88	1328	164
89	1341	149
90	1353	133
91	1363	118
92	1375	103
93	1387	88
94	1399	73
95	1409	58
96	1421	43
97	1433	29
98	1444	14
99	1456	0
